key,stamp,p_home,home_team
1-NE-SEA,2026-08-13T22:11+00:00,0.6225,SEA
1-SF-LA,2026-08-13T22:11+00:00,0.6311,LA
1-CHI-CAR,2026-08-13T22:11+00:00,0.4286,CAR
1-TB-CIN,2026-08-13T22:11+00:00,0.6444,CIN
1-NO-DET,2026-08-13T22:11+00:00,0.7261,DET
1-BUF-HOU,2026-08-13T22:11+00:00,0.4778,HOU
1-BAL-IND,2026-08-13T22:11+00:00,0.3842,IND
1-CLE-JAX,2026-08-13T22:11+00:00,0.7664,JAX
1-ATL-PIT,2026-08-13T22:11+00:00,0.6158,PIT
1-NYJ-TEN,2026-08-13T22:11+00:00,0.5714,TEN
1-ARI-LAC,2026-08-13T22:11+00:00,0.8178,LAC
1-MIA-LV,2026-08-13T22:11+00:00,0.6361,LV
1-GB-MIN,2026-08-13T22:11+00:00,0.5170,MIN
1-WAS-PHI,2026-08-13T22:11+00:00,0.6573,PHI
1-DAL-NYG,2026-08-13T22:11+00:00,0.4286,NYG
1-DEN-KC,2026-08-13T22:11+00:00,0.5823,KC
2-DET-BUF,2026-08-13T22:11+00:00,0.5930,BUF
2-CAR-ATL,2026-08-13T22:11+00:00,0.5325,ATL
2-NO-BAL,2026-08-13T22:11+00:00,0.7440,BAL
2-MIN-CHI,2026-08-13T22:11+00:00,0.6311,CHI
2-CIN-HOU,2026-08-13T22:11+00:00,0.5515,HOU
2-PIT-NE,2026-08-13T22:11+00:00,0.6697,NE
2-GB-NYJ,2026-08-13T22:11+00:00,0.3146,NYJ
2-CLE-TB,2026-08-13T22:11+00:00,0.6803,TB
2-PHI-TEN,2026-08-13T22:11+00:00,0.3427,TEN
2-JAX-DEN,2026-08-13T22:11+00:00,0.5641,DEN
2-LV-LAC,2026-08-13T22:11+00:00,0.7721,LAC
2-SEA-ARI,2026-08-13T22:11+00:00,0.1954,ARI
2-WAS-DAL,2026-08-13T22:11+00:00,0.6361,DAL
2-MIA-SF,2026-08-13T22:11+00:00,0.8178,SF
2-IND-KC,2026-08-13T22:11+00:00,0.7097,KC
2-NYG-LA,2026-08-13T22:11+00:00,0.7605,LA
3-ATL-GB,2026-08-13T22:11+00:00,0.7505,GB
3-LAC-BUF,2026-08-13T22:11+00:00,0.6000,BUF
3-CAR-CLE,2026-08-13T22:11+00:00,0.4675,CLE
3-NYJ-DET,2026-08-13T22:11+00:00,0.7815,DET
3-HOU-IND,2026-08-13T22:11+00:00,0.4675,IND
3-NE-JAX,2026-08-13T22:11+00:00,0.5170,JAX
3-KC-MIA,2026-08-13T22:11+00:00,0.2560,MIA
3-TEN-NYG,2026-08-13T22:11+00:00,0.6000,NYG
3-CIN-PIT,2026-08-13T22:11+00:00,0.4675,PIT
3-SEA-WAS,2026-08-13T22:11+00:00,0.3689,WAS
3-ARI-SF,2026-08-13T22:11+00:00,0.8219,SF
3-MIN-TB,2026-08-13T22:11+00:00,0.5325,TB
3-BAL-DAL,2026-08-13T22:11+00:00,0.4485,DAL
3-LV-NO,2026-08-13T22:11+00:00,0.6361,NO
3-LA-DEN,2026-08-13T22:11+00:00,0.4177,DEN
3-PHI-CHI,2026-08-13T22:11+00:00,0.5170,CHI
4-PIT-CLE,2026-08-13T22:11+00:00,0.4359,CLE
4-IND-WAS,2026-08-13T22:11+00:00,0.5170,WAS
4-NYJ-CHI,2026-08-13T22:11+00:00,0.7762,CHI
4-DAL-HOU,2026-08-13T22:11+00:00,0.5641,HOU
1-NE-SEA,2026-08-14T00:04+00:00,0.6311,SEA
